source,target,weight
31214,31128,9.0
31214,31129,3.0
31214,31232,1.0
31214,31200,41.0
31214,31603,2.0
31214,31212,12.0
31214,31277,8.0
31214,31110,45.0
31214,31241,17.0
31214,31295,1.0
31214,31230,13.0
31214,31215,2.0
31214,31615,2.0
31214,31265,1.0
31271,31215,5.0
31271,31064,2.0
31271,31228,10.0
31271,31321,15.0
31271,31243,35.0
31271,31241,3.0
31271,31108,6.0
31271,31110,1.0
31271,31258,29.0
31271,31314,1.0
31271,31219,5.0
31271,31646,2.0
31271,31229,3.0
31271,31265,5.0
31271,31232,11.0
31271,31248,15.0
31271,31627,12.0
31271,31277,3.0
31271,31200,1.0
31271,31227,4.0
31271,31603,6.0
31271,31288,3.0
31271,31272,5.0
31271,31615,6.0
31271,31613,4.0
31271,31266,1.0
31271,31628,1.0
31271,31203,4.0
31271,31233,6.0
31271,31600,8.0
31271,31290,11.0
31271,31249,2.0
31271,31230,9.0
31271,31247,31.0
31271,31129,18.0
31271,31289,33.0
31271,31201,6.0
31271,31623,16.0
31243,31129,6.0
31243,31200,2.0
31243,31627,4.0
31243,31215,2.0
31243,31290,5.0
31243,31321,13.0
31243,31266,2.0
31243,31247,6.0
31243,31628,8.0
31243,31613,9.0
31243,31277,3.0
31243,31609,7.0
31243,31295,1.0
31243,31271,26.0
31243,31623,25.0
31243,31314,1.0
31243,31232,4.0
31243,31281,3.0
31243,31288,4.0
31243,31258,2.0
31243,31603,2.0
31243,31600,2.0
31243,31248,7.0
31243,31646,8.0
31243,31228,4.0
31243,31108,44.0
31243,31272,1.0
31243,31227,1.0
31243,31249,5.0
31243,31230,1.0
31243,31265,2.0
31243,31289,6.0
31243,31615,16.0
31243,31203,1.0
31243,31064,3.0
31243,31241,1.0
31265,31241,3.0
31265,31230,35.0
31265,31295,1.0
31265,31289,2.0
31265,31214,5.0
31265,31609,2.0
31265,31613,20.0
31265,31227,16.0
31265,31129,6.0
31265,31233,6.0
31265,31257,1.0
31265,31247,3.0
31265,31200,8.0
31265,31229,3.0
31265,31277,13.0
31265,31281,7.0
31265,31219,2.0
31265,31288,1.0
31265,31623,6.0
31265,31128,10.0
31265,31203,4.0
31265,31232,8.0
31265,31272,2.0
31265,31266,6.0
31265,31258,4.0
31265,31110,6.0
31265,31628,3.0
31265,31627,6.0
31265,31201,3.0
31265,31321,4.0
31265,31215,11.0
31265,31271,3.0
31265,31246,7.0
31265,31212,2.0
31265,31600,5.0
31265,31108,3.0
31265,31228,16.0
31265,31603,19.0
31265,31615,5.0
31265,31101,7.0
31227,31241,6.0
31227,31613,2.0
31227,31230,6.0
31227,31281,3.0
31227,31289,2.0
31227,31257,3.0
31227,31615,3.0
31227,31128,2.0
31227,31200,5.0
31227,31271,2.0
31227,31646,3.0
31227,31295,1.0
31227,31214,17.0
31227,31627,2.0
31227,31203,7.0
31227,31248,1.0
31227,31228,9.0
31227,31110,1.0
31227,31101,11.0
31227,31229,3.0
31227,31108,4.0
31227,31277,5.0
31227,31246,6.0
31227,31288,4.0
31227,31243,1.0
31227,31603,8.0
31227,31266,7.0
31227,31623,9.0
31227,31232,9.0
31227,31212,1.0
31227,31215,1.0
31227,31600,58.0
31227,31233,10.0
31227,31201,5.0
31227,31265,19.0
31227,31129,1.0
31227,31290,6.0
31201,31600,5.0
31201,31219,8.0
31201,31200,84.0
31201,31230,8.0
31201,31627,4.0
31201,31246,15.0
31201,31289,1.0
31201,31129,2.0
31201,31277,7.0
31201,31014,3.0
31201,31623,2.0
31201,31266,75.0
31201,31265,5.0
31201,31247,4.0
31201,31272,1.0
31201,31203,13.0
31201,31295,2.0
31201,31214,48.0
31201,31288,3.0
31201,31233,17.0
31201,31314,3.0
31201,31249,5.0
31201,31110,40.0
31201,31229,87.0
31201,31321,2.0
31201,31232,2.0
31201,31228,7.0
31201,31101,26.0
31201,31613,2.0
31201,31128,18.0
31201,31646,1.0
31201,31215,3.0
31201,31241,36.0
31201,31609,2.0
31201,31108,1.0
31201,31227,10.0
31201,31258,6.0
31201,31603,6.0
31201,31212,17.0
31201,31290,1.0
31201,31281,38.0
31201,31271,1.0
31289,31243,3.0
31289,31014,9.0
31289,31272,11.0
31289,31232,8.0
31289,31290,8.0
31289,31257,8.0
31289,31228,2.0
31289,31007,2.0
31289,31266,1.0
31289,31271,7.0
31289,31108,5.0
31289,31230,6.0
31289,31233,5.0
31289,31314,3.0
31289,31628,4.0
31289,31623,7.0
31289,31214,3.0
31289,31248,29.0
31289,31646,3.0
31289,31609,6.0
31289,31129,26.0
31289,31219,3.0
31289,31277,23.0
31289,31265,3.0
31289,31258,14.0
31289,31613,2.0
31289,31321,20.0
31289,31600,3.0
31289,31064,3.0
31289,31212,3.0
31289,31200,4.0
31289,31229,1.0
31289,31215,20.0
31289,31246,2.0
31289,31281,2.0
31289,31203,2.0
31289,31128,4.0
31289,31247,36.0
31289,31249,28.0
31289,31288,49.0
31623,31272,79.0
31623,31243,28.0
31623,31108,9.0
31623,31271,10.0
31623,31247,3.0
31623,31101,2.0
31623,31228,8.0
31623,31230,4.0
31623,31281,4.0
31623,31227,9.0
31623,31265,4.0
31623,31288,8.0
31623,31646,20.0
31623,31203,1.0
31623,31241,4.0
31623,31290,2.0
31623,31200,4.0
31623,31609,3.0
31623,31289,6.0
31623,31219,18.0
31623,31110,1.0
31623,31613,38.0
31623,31321,2.0
